21.5,0.1,0.9,0.88,19.4,-2.7,2.731
21.8,0,1.6,0.86,19.3,-2.6,3.82
22.1,0,2.1,0.87,19.8,-2.3,2.238
22.5,0,1.8,0.86,20,-2.3,1.713
24.5,0,1.2,0.73,19.3,-2.7,4.714
25.9,0,2.1,0.68,19.5,-2.8,4.793
27.4,0,2,0.63,19.7,-3,3.357
28.3,0,2,0.62,20.3,-3.4,2.58
28.4,0,1.9,0.59,19.6,-4,2.811
30,0,1.5,0.57,20.5,-4.7,2.94
30.5,0,2.1,0.51,19.2,-5.1,3.187
30.8,0,1.6,0.5,19.1,-5.4,3.397
31.2,0,1.5,0.51,19.8,-5.6,3.78
30.8,0,1.9,0.55,20.7,-5.3,3.4
29.5,0,1.9,0.61,21.1,-4.7,1.288
27.9,0,2.3,0.66,20.9,-3.7,1.37
26.5,0,1.3,0.66,19.6,-2.8,1.555
25.8,0,0.6,0.65,18.7,-2.1,2.631
24.8,0,2.9,0.68,18.4,-1.7,2.525
24.6,0,1.2,0.68,18.2,-2,2.159
23.8,0,0.9,0.71,18.2,-2,1.613
23.7,0,1,0.72,18.3,-1.9,1.408
23.5,0,0.8,0.75,18.8,-2.4,1.239
23.1,0,0.8,0.78,19,-2.5,1.191
23,0,0.4,0.78,18.9,-2.4,0.775
23,0,1.1,0.8,19.3,-1.8,0.87
23.8,0,0.5,0.78,19.7,-1.5,1.091
24.2,0,0.5,0.77,19.9,-1.1,0.693
25.3,0,1.1,0.72,19.8,-0.7,0.694
26.2,0,1.2,0.64,18.8,-0.5,1.507
26.3,0,1.9,0.67,19.6,-0.5,1.335
26.7,0,1.4,0.68,20.2,-0.9,1.05
26.7,0,1.2,0.7,20.7,-1.3,0.8
26.6,0,1.5,0.74,21.5,-1.8,0.674
26.2,0,1.6,0.77,21.8,-2,0.419
25.7,0,0.9,0.82,22.3,-1.9,0.323
25.5,0,0.6,0.83,22.3,-2.2,0.303
25.6,0,0.5,0.81,22,-2.4,0.383
25.1,0,1.9,0.82,21.8,-2,0.465
25,0,0.8,0.82,21.7,-1.9,0.402
24.2,0.3,0.7,0.89,22.2,-1.4,0.203
23.7,0.9,1.8,0.9,21.9,-1.6,0.224
23.7,0.7,1.2,0.87,21.4,-1.5,0.285
23.2,0.1,1.9,0.86,20.7,-1.6,0.3
23.7,0,1.7,0.68,17.4,-1.9,2.947
23,0,2.5,0.74,18.1,-2.7,3.396
22.7,0,1,0.75,18,-2.9,3.85
22.2,0,1.1,0.79,18.3,-2.7,3.625
22,0,1.2,0.83,18.9,-2.2,2.284
21.8,0,0.2,0.83,18.7,-1.5,1.1
22.2,0,0.6,0.82,18.9,-0.9,2.879
22.6,0,0.4,0.77,18.3,-0.6,2.862
24.2,0,1.6,0.71,18.6,-0.6,2.58
25.8,0,1.3,0.65,18.7,-0.8,3.113
27.3,0,1.9,0.67,20.6,-0.9,1.991
28.7,0,0.9,0.58,19.6,-1.4,3.123
29.6,0,1.6,0.53,19,-1.8,4.808
30.9,0,2.7,0.45,17.5,-2.3,5.305
31.5,0,2.5,0.45,18.1,-3.4,3.265
31.8,0,2.4,0.48,19.4,-3.9,5.394
30.3,0,2.4,0.52,19.3,-3.6,3.306
